Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C4, C8, C9",1206,5,22uF,C12891
"C10, C14, C15, C6",0402,4,100nF,C307331
"C11, C20",0603,2,100nF,C14663
"C2, C3",0805,2,10uF,C440198
"C21, C5",0603,2,1uF,C15849
D12,0603,1,Reset(red),C2986060
D13,0603,1,Msg(blu),C434421
"D14, D32, D33, D34, D35, D36, D37",0603,7,LED_Small,C2290
D16,0603,1,LED,C84264
D17,D_MiniMELF,1,D_Schottky_Small,C81181
"D3, D4",SOT-323_SC-70,2,BAT54S,C549280
D31,SOT-323_SC-70,1,BAT54C,C82467
D38,0603,1,LED(wht),C2290
D5,0603,1,Hbt(grn),C84264
"D6, D9",D_SOD-123F,2,SS34FA,C719833
D8,0603,1,LED,C72038
"H1, H3",MountingHole_3.2mm_M3_ISO7380_Pad,2,MountingHole,
IC1,VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,1,BD63573NUV-E2,C2150564
IC3,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,1,"74HC595BQ,115",C547123
J1,PinHeader_1x06_P2.54mm_Vertical,1,Debug IF,
J2,PinHeader_1x32_P2.54mm_Vertical,1,Slot Connector,
J3,PinHeader_2x03_P1.27mm_Vertical,1,UPDI,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
Q1,SOT-363_SC-70-6,1,BC847BDW1,C82368
"R1, R19",0402,2,3.3k,C25890
R10,0603,1,56k,C23206
R11,0603,1,33k,C4216
"R12, R35",0603,2,10k,C25804
"R13, R18, R27",0603,3,220k,C22961
"R14, R21, R23",0603,3,9.1k,C23260
R17,2010,1,0.025,C22470461
"R2, R22",0603,2,100k,C25803
R20,0603,1,100,C22775
"R24, R25, R28, R30, R39",0603,5,3.3k,C22978
"R26, R32",1206,2,300,C17887
R29,0603,1,4.7k,C23162
"R3, R33, R34, R4, R5, R6",0603,6,1k,C21190
R31,0805,1,10k,C17414
"R36, R37, R38",0603,3,22k,C31850
"R7, R8",0603,2,82k,C23254
R9,0805,1,22,C17561
"RN3, RN4",R_Array_Convex_4x0603,2,4.7k,C1980
U1,SOT-353_SC-70-5,1,74AHC1G08,C12490
U15,SOT-23,1,MCP9700AT-ETT,C127949
U3,SOT-23-6,1,INA181A1,C2058943
U4,DFN-8-1EP_NG_2x2mm_Pitch0.5mm,1,LM393,C2970927
U5,SOT-23-5,1,MIC5235-3.3,C89886
U6,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,AVR64DA48,C3227399
U8,QFN-20-1EP_5x5mm_P0.65mm_EP3.35x3.35mm,1,OPA521,C2058423
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-24MHz,C1987527
